"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"L. Sibley","England 3.","Rotherham United","AMF, LWB, RCMF","24","1600000","2026-06-30","21","1468","2","1.59","0","1.14","England","left","183","8.4","8.34","63.97","1.72","17.86","0.06","3.68","1.66","0.12","0.1","0","0.98","31.25","12.5","1.78","13.79","1.9","58.06","6.07","37.37","1.9","0.86","0.12","20.11","74.7","6.25","58.82","1.78","48.28","0.07","0","0.25","1.84","60","1.47","45.83","0.31","2.88","61.7"
"A. Cannon","England 3.","Wrexham","RCMF","29","200000","2026-06-30","24","1460","2","0.66","0","0.55","England","right","176","9","7.34","63.87","2.9","31.91","0.18","5.47","1.6","0.12","0.04","0","0.92","20","13.333","2.1","23.53","1.17","63.16","5.73","37.63","2.1","0.86","0.43","25.34","73.72","9.86","68.75","1.73","46.43","0.03","0.25","0.31","3.7","61.67","2.1","41.18","0.62","4.32","70"
"L. Gregory","England 3.","Mansfield Town","CF","37","150000","","20","1460","10","6.84","0","0.93","England","right","188","4.75","4.56","55.41","7.15","31.03","0.18","2.55","2.1","0.43","0.42","0.06","1.91","48.39","32.258","0.68","27.27","2.28","40.54","11.65","26.46","3.64","0.86","0.12","16.21","78.33","3.14","56.86","0.62","40","0.06","0.18","0.31","1.42","47.83","0.99","56.25","0.92","0.99","81.25"
"K. Nwakali","England 3.","Barnsley","DMF, LCMF, RCMF","27","700000","2027-06-30","23","1460","1","0.52","0","0.44","Nigeria","right","184","4.5","3.51","57.89","1.48","33.33","0","3.97","1.11","0.06","0.03","0","0.8","23.08","7.692","0.62","40","0.92","66.67","4.5","47.95","0","0.99","0","53.45","87.2","15.6","75.1","5.67","52.17","0.03","0.12","0.18","11.34","75","1.54","44","0.43","8.26","88.81"
"L. Fraser","England 3.","Crawley Town","DMF, RCMF","27","1000000","2027-06-30","16","1419","0","0.93","2","0.96","Canada","right","185","9.2","5.33","76.19","2.98","55.32","0.51","7.8","0.63","0","0.06","0","0.57","22.22","0","0.51","37.5","0.13","50","1.4","22.73","0.57","0.44","0","51.18","87.61","16.43","73.75","3.74","59.32","0.06","0.32","0.32","6.6","68.27","1.65","46.15","0.7","7.17","80.53"
"M. Miller","England 3.","Huddersfield Town","LWB, LB","30","400000","2026-06-30","18","1408","0","0.51","2","3.13","England","left","178","8.57","5.75","63.33","3.9","44.26","0.19","6.27","5.18","0","0.03","0","0.45","28.57","0","5.5","32.56","5.24","60.98","9.59","44","1.34","2.49","0.32","37.84","68.24","13.62","55.87","3.77","30.51","0.2","0.06","0.38","5.82","48.35","4.92","42.86","0.45","9.72","69.74"
"L. Kelly","England 3.","Rotherham United","DMF, RCMF, RDMF","35","300000","2026-06-30","18","1406","1","0.5","1","0.56","England","right","187","9.35","6.98","60.55","2.94","56.52","0.32","6.26","0.64","0.06","0.03","0","0.83","30.77","7.692","0.96","20","0.64","30","3.14","44.9","0.32","0.32","0","41.48","78.55","15.43","63.07","5.7","51.69","0.04","0","0.26","7.81","54.92","2.18","41.18","0.7","6.66","73.08"
"P. Omochere","England 3.","Bristol Rovers","CF","25","225000","2027-06-30","22","1393","4","5.4","2","1.2","Republic of Ireland","right","188","4.72","3.3","74.51","13.89","32.56","0.19","2.97","2.52","0.26","0.35","0.06","1.94","36.67","13.333","0.97","26.67","2.84","54.55","12.86","27.64","3.68","1.03","0","12.99","64.18","2.65","48.78","0.52","50","0.08","0.06","0.32","1.36","52.38","0.71","36.36","0.52","1.36","38.1"
"J. Collins","England 3.","Lincoln City","CF","35","175000","2026-06-30","20","1392","10","8.49","0","0.28","England","right","188","3.75","2.84","59.09","7.63","29.66","0.32","2.42","1.81","0.58","0.55","0.26","2.59","47.5","25","0.58","22.22","1.23","36.84","7.37","26.32","3.94","0.52","0","18.43","75.09","4.59","56.34","0.97","46.67","0.02","0.06","0.19","2.2","64.71","0.78","66.67","0.39","1.81","71.43"
"J. Moylan","England 3.","Lincoln City","LCMF, RCMF, LAMF","24","200000","","28","1383","2","3.17","0","1.71","Republic of Ireland","right","173","6.77","4.75","68.49","2.47","36.84","0.13","4.15","4.56","0.07","0.21","0","2.6","32.5","5","1.56","50","4.82","58.11","10.8","39.16","2.02","2.67","0.26","22.19","68.62","8.85","55.15","2.28","34.29","0.11","0.59","0.26","4.36","50.75","2.73","57.14","0.98","4.75","67.12"
"M. Smith","England 3.","Wigan Athletic","DMF, LDMF","25","300000","2026-06-30","19","1382","1","0.64","3","1.06","England","right","176","8.6","7.88","59.5","1.82","28.57","0.13","4.9","0.72","0.07","0.04","0","0.65","10","10","0.33","40","0.46","71.43","3.13","41.67","0.2","1.11","0.07","50.99","88.12","14.65","71.56","3.97","40.98","0.07","0.26","0.26","6.45","71.72","1.76","55.56","0.78","6.19","68.42"
"R. Longman","England 3.","Wrexham","RW, RWB, LW","25","2000000","2027-06-30","19","1362","1","0.73","4","3.28","England","right","180","7","6.67","63.37","2.84","46.51","0.07","3.86","6.94","0.07","0.05","0","0.93","7.14","7.143","7.07","42.06","7.14","53.7","11.56","46.86","1.78","2.64","0.79","35.42","69.96","8.33","56.35","4.36","39.39","0.22","0.07","0.79","3.17","43.75","6.41","47.42","0.79","7.4","75.89"
"J. Hodge","England 3.","Huddersfield Town","DMF, LCMF","23","1500000","2029-06-30","27","1358","1","1.24","0","0.51","England","right","172","8.15","6.36","68.75","2.32","37.14","0.33","4.86","1.33","0.07","0.08","0","0.99","40","6.667","0.99","13.33","1.46","40.91","4.97","28","0.53","1.33","0.13","51.89","83.4","18.76","68.9","5.83","53.41","0.03","0.2","0.27","8.95","71.11","1.92","34.48","0.73","7.95","71.67"
"D. Costelloe","England 3.","Northampton Town","CF","22","325000","2028-06-30","15","1355","6","6.65","0","2.29","Republic of Ireland","left","175","4.52","4.25","68.75","12.02","12.15","0.07","2.22","2.39","0.33","0.44","0.07","1.86","50","21.429","0.73","36.36","2.26","52.94","8.9","33.58","3.59","1.13","0.33","11.42","73.26","2.52","47.37","0.2","0","0.15","0","0.4","0.66","20","0.8","50","0.93","0.93","50"
"B. Cotter","England 3.","Barnsley","RB, RW, LWB","27","300000","2026-06-30","21","1351","0","1.33","3","2.51","Republic of Ireland","right","184","9.73","6.79","66.67","5","41.33","0.07","7.18","4.06","0","0.09","0","1.33","30","0","4.06","32.79","4.86","47.95","9.79","37.41","2.13","2.86","0.93","26.25","64.21","9.19","48.55","3.06","34.78","0.17","0","0.73","3.86","41.38","3.53","47.17","0.53","6","58.89"
