"Player","League","Team ","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Williams","League Two 20-21.","Bolton Wanderers","RDMF, LDMF","30","250000","2027-06-30","21","2000","0","0.04","1","0.25","Wales","right","187","9.9","8.46","55.85","3.11","43.48","0.23","8.64","0.36","0","0","0","0.09","0","0","0.27","33.33","0.63","42.86","2.3","39.22","0.18","1.08","0.36","46.89","82.92","14.9","65.86","5.45","43.8","0.01","0.18","0.05","8.78","65.64","0.72","43.75","0.18","7.47","65.66"
"J. Widdowson","League Two 20-21.","Leyton Orient","LB, LCB","36","0","","26","1992","0","0","0","0.38","England","left","183","10.48","7.05","58.97","4.97","60.91","0.36","7.67","0.72","0","0","0","0","0","0","0.59","38.46","0.59","69.23","2.17","41.67","0.36","1.27","0.59","38.77","77.62","17.26","60.21","5.78","36.72","0.02","0.09","0.05","6.1","51.85","0.68","33.33","0.05","7.32","62.35"
"A. Bates","League Two 20-21.","Walsall","DMF, LCMF, RCMF","24","0","2026-06-30","36","1988","0","0.66","2","1.07","England","right","170","7.15","6.61","58.22","2.54","35.71","0.09","4.48","1.18","0","0.03","0","0.63","14.29","0","0.63","50","0.91","80","3.76","34.94","0.14","0.32","0.27","35.76","74.56","12.27","53.14","7.74","48.54","0.05","0.23","0.09","8.42","56.45","1.9","38.1","0.41","6.88","67.76"
"C. Taylor","League Two 20-21.","Barrow","LCMF","39","0","","31","1987","1","1.53","2","2.09","England","left","183","7.43","6.07","61.19","3.03","47.76","0.23","4.38","1.13","0.05","0.07","0","0.72","25","6.25","0.86","21.05","1.09","50","2.99","51.52","1.45","0.41","0.23","25.41","74.87","8.52","57.98","2.31","27.45","0.09","0.41","0.27","3.8","58.33","1.22","70.37","0.95","3.99","62.5"
"K. Wilson","League Two 20-21.","Forest Green Rovers","RWB, RW, RB","25","500000","","27","1984","1","0.89","2","2.09","England","right","178","8.3","5.9","56.92","4.54","50","0.14","6.69","4.63","0.05","0.04","0","0.5","18.18","9.091","3.54","41.03","5.63","50","11.3","39.36","1.04","2.81","2.13","30.35","74.89","9.12","60.7","2","43.18","0.09","0.54","0.32","3.13","55.07","3.18","52.86","0.54","5.99","75.76"
"L. Gibson","League Two 20-21.","Morecambe","LB","28","175000","2026-06-30","26","1975","0","0.15","1","0.65","England","left","185","13.4","10.66","61.11","6.11","59.7","0.09","8.05","1.73","0","0.01","0","0.14","33.33","0","1.18","15.38","2.1","69.57","4.37","46.88","0.55","0.64","0.46","28.03","61.46","15.77","48.84","6.97","26.14","0.03","0.14","0.05","5.92","44.62","1.91","26.19","0.36","8.93","54.08"
"C. Montaño","League Two 20-21.","Port Vale","LB, LWB","34","300000","2026-05-31","29","1968","3","2.05","1","2.22","Colombia","left","180","11.52","8.37","64.48","7","60.13","0.14","8.9","3.7","0.09","0.09","0","1.14","44","8","2.2","31.25","4.44","56.7","8.23","47.22","2.06","1.83","0.96","25.06","63.14","12.62","55.8","5.9","44.19","0.1","0.27","0.32","5.67","48.39","2.1","47.83","0.87","7.5","64.02"
"C. Donaldson","League Two 20-21.","Bradford City","CF, AMF","41","0","","35","1966","4","4.24","2","2.37","England","right","185","3.34","2.56","64.29","9.61","46.19","0.09","2.12","2.88","0.18","0.19","0.09","1.56","47.06","11.765","1.19","38.46","2.56","60.71","10.94","38.91","3.02","0.69","0.46","18.68","79.41","3.8","61.45","0.5","45.45","0.11","0.41","0.41","2.15","59.57","1.14","60","0.92","2.29","76"
"D. Rowe","League Two 20-21.","Bradford City","CF, AMF","36","0","","33","1943","9","5.29","4","3.25","England","right","186","4.68","4.31","47.31","8.24","33.15","0.14","3.13","4.54","0.37","0.25","0.09","2.96","48.44","14.063","1.99","27.91","3.61","65.38","9.13","42.13","2.5","0.69","0.28","24.32","67.81","6.72","48.28","2.59","42.86","0.15","0.74","0.42","4.54","46.94","1.95","33.33","0.46","3.2","73.91"
"J. Wright","League Two 20-21.","Crawley Town","RCMF, DMF","36","0","","29","1939","1","0.96","2","0.72","England","right","185","7.61","5.52","48.74","4.27","44.57","0.32","6.27","0.79","0.05","0.04","0","0.56","16.67","8.333","0.6","46.15","0.6","38.46","2.6","37.5","0.84","0.6","0.14","39.64","79.27","15.6","66.96","6.08","52.67","0.03","0.46","0.09","7.33","62.66","1.72","54.05","0.84","7.75","75.45"
"N. Adams","League Two 20-21.","Oldham Athletic","RB, RWB, LWB","39","0","","23","1937","0","1.08","3","4.34","England","right","178","6.6","4.83","53.85","1.63","48.57","0.23","5.01","4.6","0","0.05","0","0.46","60","0","6.13","30.3","4","60.47","6.97","53.33","0.65","2.18","0.88","41.72","69.82","14.36","56.96","6.78","40.41","0.2","0.28","0.37","5.62","52.07","5.53","33.61","0.42","9.71","70.33"
"A. Crawford","League Two 20-21.","Tranmere Rovers","AMF, LCMF","34","200000","2026-05-31","30","1932","1","2.51","4","2.54","Scotland","right","173","5.4","4.8","58.25","1.82","17.95","0.14","3.5","1.96","0.05","0.12","0","2.05","20.45","2.273","1.07","21.74","1.63","45.71","3.82","37.8","1.21","0.75","0.7","35.12","78.51","10.85","62.23","5.68","48.36","0.12","1.16","0.33","7.5","63.35","2.93","44.44","1.16","6.24","76.87"
"T. Beadling","League Two 20-21.","Barrow","RCMF, DMF, CB","29","300000","","29","1926","2","2.14","0","0.42","England","right","186","9.81","5.98","64.84","5.23","59.82","0.42","7.83","1.21","0.09","0.1","0","0.93","35","10","0.19","25","1.45","45.16","3.79","37.04","0.89","0.93","0.14","29.77","80.53","12.24","63.36","4.53","50.52","0.02","0.28","0.09","5.79","62.1","0.56","58.33","0.47","6.4","71.53"
"R. Hackett","League Two 20-21.","Southend United","RW, LW, LAMF","27","275000","2026-06-30","25","1926","1","2.93","0","2.36","England","left","190","9.39","7.38","55.7","3.97","42.35","0.14","7.43","4.77","0.05","0.14","0","1.59","14.71","2.941","3.18","36.76","6.59","49.65","12.62","35.56","2.01","2.2","1.17","22.01","67.52","6.31","52.59","2.29","42.86","0.11","0.33","0.56","2.15","56.52","3.04","44.62","0.47","4.35","67.74"
"C. Lines","League Two 20-21.","Stevenage","LCMF","40","0","","20","1920","0","0.85","3","3.32","England","right","188","6.66","4.73","58.42","2.67","61.4","0.19","5.47","0.7","0","0.04","0","0.52","9.09","0","0.52","54.55","0.84","38.89","1.69","33.33","0.52","0.89","0.52","42.47","82.23","14.48","68.61","6.61","54.61","0.16","0.19","0.56","7.87","69.64","1.92","65.85","0.98","8.44","78.33"
"S. Brisley","League Two 20-21.","Port Vale","LCB, RCB","35","0","","24","1907","1","1.61","1","0.08","England","right","192","10.62","6.14","68.46","13.88","61.9","0.57","8.64","0.33","0.05","0.08","0","0.42","44.44","11.111","0.09","0","0.28","50","0.85","44.44","0.66","0.33","0","25.53","69.32","14.87","56.19","7.79","47.88","0","0.05","0.05","5.38","51.75","0.52","9.09","0.14","8.02","56.47"
"A. Hartridge","League Two 20-21.","Exeter City","LCB","26","275000","2026-06-30","29","1903","0","1.23","0","0.02","England","left","185","10.97","6.01","69.29","8.7","67.93","0.38","11.19","0.76","0","0.06","0","0.19","25","0","0.28","16.67","0.9","63.16","2.32","48.98","0.47","0.57","0.05","40.06","70.13","25.02","59.36","13.76","49.14","0","0.14","0","11.63","52.44","1.18","32","0.38","12.82","70.85"
"T. Abrahams","League Two 20-21.","Leyton Orient","CF","27","0","2026-06-30","37","1902","4","5.94","2","1.22","England","left","185","3.93","3.88","64.63","5.77","14.75","0.09","2.15","2.41","0.09","0.28","0","1.47","35.48","12.903","1.94","29.27","2.89","40.98","11.31","23.01","2.93","1.23","0.47","12.35","73.18","2.03","48.84","0.33","14.29","0.06","0.24","0.47","0.95","55","1.47","45.16","0.62","1.32","71.43"
"S. Matthews","League Two 20-21.","Crawley Town","RW, LW","28","0","","30","1893","0","1.58","2","3.01","England","left","175","6.32","6.75","54.23","3.66","28.57","0.05","3.64","3.66","0","0.08","0","1.62","20.59","0","2.23","25.53","4.66","48.98","7.7","40.74","1.95","1.57","1.24","36.28","71.43","11.89","56.8","3.47","43.84","0.14","1.38","0.38","5.47","65.22","3.04","43.75","0.95","6.47","72.06"
"A. Nathaniel-George","League Two 20-21.","Southend United","LW, RW, LAMF","30","0","2026-06-30","29","1887","2","3.17","1","1.22","England","right","177","6.58","5.82","62.3","3.05","21.88","0","3.96","6.15","0.05","0.15","0","1.53","31.25","6.25","1.48","45.16","8.59","56.67","18.84","43.8","1.91","2.62","1.43","22.08","80.13","6.25","65.65","1.34","42.86","0.06","0.33","0.24","1.76","67.57","2.05","69.77","0.86","3.96","60.24"
"E. Osborne","League Two 20-21.","Stevenage","RW, LCMF, RCMF","29","0","2026-06-30","26","1885","2","1.31","3","3.28","England","right","183","8.21","7.88","65.45","3.34","35.71","0.24","4.17","3.06","0.1","0.06","0","1.05","22.73","9.091","2.34","28.57","3.49","46.58","8.93","31.55","1.34","1.34","0.76","29.6","71.61","10.98","60.87","3.92","42.68","0.16","1.15","0.76","5.3","49.55","3.2","52.24","1.1","5.49","69.57"
"S. Long","League Two 20-21.","Cheltenham Town","LCB, RCB","30","275000","","22","1880","2","1.48","1","0.93","Republic of Ireland","right","178","7.18","3.59","70.67","9.72","65.52","0.34","6.58","0.67","0.1","0.07","0.1","0.53","45.45","18.182","0.91","31.58","0.34","42.86","1.39","31.03","0.77","0.62","0.14","32.94","70.2","16.61","59.37","7.76","48.15","0.04","0.1","0.14","7.23","56.29","1.91","30","0.48","10.05","59.52"
"B. Clarke","League Two 20-21.","Bradford City","RAMF, AMF, RW","38","0","","29","1878","2","3.45","4","3.68","Republic of Ireland","left","170","5.85","4.27","52.81","2.78","27.59","0.05","4.27","3.93","0.05","0.17","0","1.34","39.29","7.143","2.11","43.18","4.22","51.14","8.58","35.75","2.4","1.39","0.29","40.73","75.06","12.41","57.14","5.51","46.09","0.18","1.05","0.58","6.42","56.72","3.64","51.32","1.49","8.15","74.71"
"D. Mitov","League Two 20-21.","Cambridge United","GK","28","500000","2027-06-30","20","1865","0","0","0","0","Bulgaria","right","188","1.35","0.05","0","0.72","93.33","0","1.78","0.1","0","0","0","0","0","0","0","0","0.1","100","0.14","100","0","0","0","15.39","76.18","11.68","70.25","10.28","66.2","0","0","0","5.12","66.04","0.1","50","0.14","8.06","82.63"
